id,alpha,sharpe,turnover,fitness,returns,drawdown,margin,weight,sub_univese,settings,min_corr,max_corr,score,code
"-(ts_delta(bookvalue_ps, 360))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(ts_delta(bookvalue_ps, 360))",1.18,0.0301,1.38,0.1711,0.1644,0.01135,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2019-07-23', 'limit': 0.1, 'value': 0.500001}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.51, 'value': 1.09}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.2313,0.5301,686.0,qYWGAkO
"-(subtract(ts_mean(divide(ebitda,winsorize(ts_backfill(debt_lt, 120))), 200), divide(ebitda,winsorize(ts_backfill(debt_lt, 120)))))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(subtract(ts_mean(divide(ebitda,winsorize(ts_backfill(debt_lt, 120))), 200), divide(ebitda,winsorize(ts_backfill(debt_lt, 120)))))",1.06,0.0527,2.05,0.4677,0.3909,0.017746,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2021-07-13', 'limit': 0.1, 'value': 0.432134}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.46, 'value': 0.51}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.104,0.1066,233.0,7vZmNP5
"-(ts_delta(divide(debt,equity),12))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(ts_delta(divide(debt,equity),12))",0.89,0.3159,0.89,0.3194,0.4922,0.002022,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2018-12-27', 'limit': 0.1, 'value': 0.500013}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.39, 'value': 0.61}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.0949,0.0674,542.0,0NRgx52
"multiply(rank(inverse(historical_volatility_30)), inverse(cap))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","multiply(rank(inverse(historical_volatility_30)), inverse(cap))",0.54,0.0826,0.32,0.0437,0.1287,0.001059,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.23, 'value': 0.5}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.4475,0.2857,301.0,XvWzArm
"ts_rank(ts_delta(sales_growth, 360), 360)_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","ts_rank(ts_delta(sales_growth, 360), 360)",1.03,0.0525,0.72,0.0605,0.0982,0.002308,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.45, 'value': 0.99}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.4109,0.5221,395.0,vpk6qza
"divide(equity, debt)_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","divide(equity, debt)",-0.76,0.0297,-0.95,-0.1933,1.5747,-0.01301,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2022-02-10', 'limit': 0.1, 'value': 0.370832}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': -0.33, 'value': 0.14}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.4533,0.1423,-34.0,E8vLJvK
"ts_zscore(divide(cashflow_op, fn_income_taxes_paid_a), 252)_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","ts_zscore(divide(cashflow_op, fn_income_taxes_paid_a), 252)",0.52,0.0717,0.22,0.0221,0.0749,0.000615,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2019-01-18', 'limit': 0.1, 'value': 0.146124}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.23, 'value': 0.18}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.3331,0.1679,138.0,8E3Ykav
"-(group_rank(divide(winsorize(ts_backfill(cashflow, 120)),winsorize(ts_backfill(assets, 120))),industry))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(group_rank(divide(winsorize(ts_backfill(cashflow, 120)),winsorize(ts_backfill(assets, 120))),industry))",1.14,0.0172,0.72,0.0495,0.061,0.005746,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.49, 'value': 0.51}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.3915,0.6786,31.0,GKdxklZ
"ts_zscore(divide(sales, ts_mean(assets, 252)), 60)_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","ts_zscore(divide(sales, ts_mean(assets, 252)), 60)",0.97,0.1266,0.6,0.048,0.0588,0.000758,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.42, 'value': 0.88}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.2769,0.6071,58.0,Me1ZLLz
"ts_zscore(divide(sales,ts_mean(assets,252)),60)_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","ts_zscore(divide(sales,ts_mean(assets,252)),60)",0.97,0.1266,0.6,0.048,0.0588,0.000758,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.42, 'value': 0.88}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.2769,0.6071,58.0,Me1ZLLz
"-(zscore(subtract(anl4_bvps_mean,bookvalue_ps)))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(zscore(subtract(anl4_bvps_mean,bookvalue_ps)))",0.63,0.0073,0.62,0.1216,0.3856,0.033131,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2018-02-05', 'limit': 0.1, 'value': 0.5}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.27, 'value': 0.17}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.3164,0.3556,17.0,8E3YE6l
"subtract(ts_mean(implied_volatility_mean_30,21),ts_delay(ts_mean(implied_volatility_mean_30,21),21))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","subtract(ts_mean(implied_volatility_mean_30,21),ts_delay(ts_mean(implied_volatility_mean_30,21),21))",0.97,0.1375,1.16,0.1952,0.3019,0.002839,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2021-10-29', 'limit': 0.1, 'value': 0.500018}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.42, 'value': 0.73}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.1151,0.6174,76.0,QN3gx3M
"winsorize(ts_backfill(ts_delta(divide(winsorize(ts_backfill(income, 120)),winsorize(ts_backfill(cashflow_dividends, 120))),20),120))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","winsorize(ts_backfill(ts_delta(divide(winsorize(ts_backfill(income, 120)),winsorize(ts_backfill(cashflow_dividends, 120))),20),120))",0.84,0.2312,0.8,0.2101,0.3737,0.001817,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL', 'date': '2020-10-12', 'limit': 0.1, 'value': 0.474989}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.36, 'value': -0.06}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.0853,0.1828,-132.0,7vZlgAv
"-(ts_corr(mdl77_2earningmomentumfactor400_surp, ts_delay(divide(income, assets), 90), 120))_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","-(ts_corr(mdl77_2earningmomentumfactor400_surp, ts_delay(divide(income, assets), 90), 120))",1.22,0.0455,0.68,0.0388,0.0548,0.001703,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.53, 'value': 0.87}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.1927,0.5814,17.0,aQLGOL9
"if_else(and(beta_last_30_days_spy>1,historical_volatility_30<0.15),1,0)_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","if_else(and(beta_last_30_days_spy>1,historical_volatility_30<0.15),1,0)",1.57,0.2251,1.06,0.1018,0.0804,0.000905,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'FAIL'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'PASS', 'limit': 0.68, 'value': 1.4}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.2216,0.2957,43.0,x2Y5bRm
"greater(ts_delta(est_eps, 20), 0)_{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}","greater(ts_delta(est_eps, 20), 0)",0.66,0.0931,0.32,0.0297,0.0924,0.000639,"{'name': 'CONCENTRATED_WEIGHT', 'result': 'PASS'}","{'name': 'LOW_SUB_UNIVERSE_SHARPE', 'result': 'FAIL', 'limit': 0.29, 'value': 0.22}","{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'MARKET', 'truncation': 0.0, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'maxTrade': 'OFF', 'language': 'FASTEXPR', 'visualization': False}",-0.3538,0.5408,73.0,brRAzjm
