name,category,scope,definition,description,documentation,level,group,Sharpe_mean,Fitness_mean,rank,Sharpe,Fitness
add,Arithmetic,['REGULAR'],"add(x, y, filter = false), x + y","Add all inputs (at least 2 inputs required). If filter = true, filter all input NaN to 0 before adding",,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,2.0432323908315206,0.33,0.13
multiply,Arithmetic,['REGULAR'],"multiply(x ,y, ... , filter=false), x * y",Multiply all inputs. At least 2 inputs are required. Filter sets the NaN values to 1,/operators/multiply,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,2.380726116780994,0.42,0.14
sign,Arithmetic,['REGULAR'],sign(x),if input = NaN; return NaN,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,1.3377167905469791,0.41,0.09
subtract,Arithmetic,['REGULAR'],"subtract(x, y, filter=false), x - y","x-y. If filter = true, filter all input NaN to 0 before subtracting",,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,2.04062238581228,0.36,0.12
log,Arithmetic,['REGULAR'],log(x),Natural logarithm. For example: Log(high/low) uses natural logarithm of high/low ratio as stock weights.,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,0.8972746331236897,0.22,0.08
max,Arithmetic,['REGULAR'],"max(x, y, ..)",Maximum value of all inputs. At least 2 inputs are required,/operators/max,ALL,Arithmetic_3,0.2475,0.0625,1.8917171717171717,0.29,0.045
abs,Arithmetic,['REGULAR'],abs(x),Absolute value of x,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,1.5601295978654468,0.38,0.14
divide,Arithmetic,['REGULAR'],"divide(x, y), x / y",x / y,,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,2.5254810105404046,0.41,0.16
min,Arithmetic,['REGULAR'],"min(x, y ..)",Minimum value of all inputs. At least 2 inputs are required,/operators/min,ALL,Arithmetic_3,0.2475,0.0625,2.1082828282828285,0.20500000000000002,0.08
signed_power,Arithmetic,['REGULAR'],"signed_power(x, y)",x raised to the power of y such that final result preserves sign of x,/operators/signed_power,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,1.8958674920528693,0.37,0.1
inverse,Arithmetic,['REGULAR'],inverse(x),1 / x,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,1.0750905279207166,0.28,0.09
sqrt,Arithmetic,['REGULAR'],sqrt(x),Square root of x,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,5.800076234038499,1.33,0.55
reverse,Arithmetic,['REGULAR'],reverse(x),Â - x,,ALL,Arithmetic_1,0.49500000000000005,0.17666666666666667,1.329712216504669,0.35,0.11
power,Arithmetic,['REGULAR'],"power(x, y)",x ^ y,/operators/power,ALL,Arithmetic_2,0.35833333333333334,0.11583333333333334,1.1140706039819308,0.26,0.045
densify,Arithmetic,['REGULAR'],densify(x),Converts a grouping field of many buckets into lesser number of only available buckets so as to make working with grouping fields computationally efficient,/operators/densify,ALL,Arithmetic_densify,0.41,0.26,2.0,0.41,0.26
or,Logical,['REGULAR'],"or(input1, input2)",Logical OR operator returns true if either or both inputs are true and returns false otherwise,,ALL,Logical_2,0.48625,0.158125,4.416513407236555,1.225,0.3
and,Logical,['REGULAR'],"and(input1, input2)","Logical AND operator, returns true if both operands are true and returns false otherwise",,ALL,Logical_2,0.48625,0.158125,1.9784386843736348,0.47,0.16
not,Logical,['REGULAR'],not(x),"Returns the logical negation of x. If x is true (1), it returns false (0), and if input is false (0), it returns true (1).",,ALL,Logical_1,0.25,0.10250000000000001,1.9268292682926829,0.25,0.095
is_nan,Logical,['REGULAR'],is_nan(input),If (input == NaN) return 1 else return 0,/operators/is_nan,ALL,Logical_1,0.25,0.10250000000000001,2.073170731707317,0.25,0.11
less,Logical,['REGULAR'],input1 < input2,"If input1 < input2 return true, else return false",,ALL,Logical_2,0.48625,0.158125,2.084355345113141,0.46,0.18
equal,Logical,['REGULAR'],input1 == input2,Returns true if both inputs are same and returns false otherwise,,ALL,Logical_2,0.48625,0.158125,0.8951299064186066,0.22,0.07
greater,Logical,['REGULAR'],input1 > input2,Logic comparison operators to compares two inputs,,ALL,Logical_2,0.48625,0.158125,2.062245343792231,0.48,0.17
if_else,Logical,['REGULAR'],"if_else(input1, input2, input 3)",If input1 is true then return input2 else return input3.,/operators/if_else,ALL,Logical_3,0.46,0.17,2.0,0.46,0.17
not_equal,Logical,['REGULAR'],input1!= input2,Returns true if both inputs are NOT the same and returns false otherwise,,ALL,Logical_2,0.48625,0.158125,1.627279839865064,0.33,0.15
less_equal,Logical,['REGULAR'],input1 <= input2,"Returns true if input1 <= input2, return false otherwise",,ALL,Logical_2,0.48625,0.158125,0.6413932552302956,0.235,0.025
greater_equal,Logical,['REGULAR'],input1 >= input2,"Returns true if input1 >= input2, return false otherwise",,ALL,Logical_2,0.48625,0.158125,2.2946442179704727,0.47,0.21
ts_corr,Time Series,['REGULAR'],"ts_corr(x, y, d)",Returns correlation of x and y for the past d days,/operators/ts_corr,ALL,Time_Series_3,0.7166666666666667,0.8616666666666667,0.8135936305159462,0.45,0.16
ts_zscore,Time Series,['REGULAR'],"ts_zscore(x, d)","Z-score is a numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean: (x - tsmean(x,d)) / tsstddev(x,d). This operator may help reduce outliers and drawdown.",,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,0.9268790464348498,0.32,0.06
ts_product,Time Series,['REGULAR'],"ts_product(x, d)",Returns product of x for the past d days,/operators/ts_product,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,3.5274707370406895,0.44,0.55
ts_std_dev,Time Series,['REGULAR'],"ts_std_dev(x, d)",Returns standard deviation of x for the past d days,,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,1.3722076919778758,0.35,0.14
ts_backfill,Time Series,['REGULAR'],"ts_backfill(x,lookback = d, k=1, ignore=""NAN"")","Backfill is the process of replacing the NAN or 0 values by a meaningful value (i.e., a first non-NaN value)",/operators/ts_backfill,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,1.5682373622604295,0.4,0.16
days_from_last_change,Time Series,['REGULAR'],days_from_last_change(x),Amount of days since last change of x,,ALL,Time_Series_1,0.48,0.51,2.0,0.48,0.51
last_diff_value,Time Series,['REGULAR'],"last_diff_value(x, d)",Returns last x value not equal to current x value from last d days,,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,,,
ts_scale,Time Series,['REGULAR'],"ts_scale(x, d, constant = 0)","Returns (x - ts_min(x, d)) / (ts_max(x, d) - ts_min(x, d)) + constant. This operator is similar to scale down operator but acts in time series space",/operators/ts_scale,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,1.503374351498521,0.44,0.13
ts_step,Time Series,['REGULAR'],ts_step(1),Returns days' counter,,ALL,Time_Series_ts_step,0.33,0.235,2.0,0.33,0.235
ts_sum,Time Series,['REGULAR'],"ts_sum(x, d)",Sum values of x for the past d days.,,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,1.6363589589675427,0.41,0.17
ts_av_diff,Time Series,['REGULAR'],"ts_av_diff(x, d)","Returns x - tsmean(x, d), but deals with NaNs carefully. That is NaNs are ignored during mean computation",/operators/ts_av_diff,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,1.639617544912747,0.46,0.15
ts_mean,Time Series,['REGULAR'],"ts_mean(x, d)",Returns average value of x for the past d days.,,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,1.628023839128757,0.43,0.16
ts_arg_max,Time Series,['REGULAR'],"ts_arg_max(x, d)","Returns the relative index of the max value in the time series for the past d days. If the current day has the max value for the past d days, it returns 0. If previous day has the max value for the past d days, it returns 1",/operators/ts_arg_max,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,,,
ts_rank,Time Series,['REGULAR'],"ts_rank(x, d, constant = 0)","Rank the values of x for each instrument over the past d days, then return the rank of the current value + constant. If not specified, by default, constant = 0.",,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,1.3903185696522744,0.48,0.09
ts_delay,Time Series,['REGULAR'],"ts_delay(x, d)",Returns x value d days ago,,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,1.8041246837885347,0.47,0.18
ts_quantile,Time Series,['REGULAR'],"ts_quantile(x,d, driver=""gaussian"" )","It calculates ts_rank and apply to its value an inverse cumulative density function from driver distribution. Possible values of driver (optional ) are ""gaussian"", ""uniform"", ""cauchy"" distribution where ""gaussian"" is the default.",,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,1.9885606482870983,0.49,0.21
ts_count_nans,Time Series,['REGULAR'],"ts_count_nans(x ,d)",Returns the number of NaN values in x for the past d days,,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,,,
ts_covariance,Time Series,['REGULAR'],"ts_covariance(y, x, d)",Returns covariance of y and x for the past d days,,ALL,Time_Series_3,0.7166666666666667,0.8616666666666667,4.713499167828708,1.49,2.27
ts_decay_linear,Time Series,['REGULAR'],"ts_decay_linear(x, d, dense = false)",Returns the linear decay on x for the past d days. Dense parameter=false means operator works in sparse mode and we treat NaN as 0. In dense mode we do not.,/operators/ts_decay_linear,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,0.6453372207691978,0.215,0.045
ts_arg_min,Time Series,['REGULAR'],"ts_arg_min(x, d)","Returns the relative index of the min value in the time series for the past d days; If the current day has the min value for the past d days, it returns 0; If previous day has the min value for the past d days, it returns 1.",/operators/ts_arg_min,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,6.866114993782961,1.68,0.73
ts_regression,Time Series,['REGULAR'],"ts_regression(y, x, d, lag = 0, rettype = 0)",Returns various parameters related to regression function,/operators/ts_regression,ALL,Time_Series_3,0.7166666666666667,0.8616666666666667,0.47290720165534617,0.21,0.15500000000000003
kth_element,Time Series,['REGULAR'],"kth_element(x, d, k)",Returns K-th value of input by looking through lookback days. This operator can be used to backfill missing data if k=1,/operators/kth_element,ALL,Time_Series_kth_ele,,,,,
hump,Time Series,['REGULAR'],"hump(x, hump = 0.01)",Limits amount and magnitude of changes in input (thus reducing turnover),/operators/hump,ALL,Time_Series_hump,,,,,
ts_delta,Time Series,['REGULAR'],"ts_delta(x, d)","Returns x - ts_delay(x, d)",,ALL,Time_Series_2,0.5017857142857143,0.20750000000000002,1.503374351498521,0.44,0.13
winsorize,Cross Sectional,['REGULAR'],"winsorize(x, std=4)","Winsorizes x to make sure that all values in x are between the lower and upper limits, which are specified as multiple of std.",,ALL,Cross_Sectional_1,0.3758333333333333,0.125,2.2643015521064305,0.4,0.15
rank,Cross Sectional,['REGULAR'],"rank(x, rate=2)","Ranks the input among all the instruments and returns an equally distributed number between 0.0 and 1.0. For precise sort, use the rate as 0",/operators/rank,ALL,Cross_Sectional_1,0.3758333333333333,0.125,2.3441241685144125,0.43,0.15
vector_neut,Cross Sectional,['REGULAR'],"vector_neut(x, y)","For given vectors x and y, it finds a new vector x* (output) such that x* is orthogonal to y",/operators/vector_neut,,Cross_Sectional_2,,,,,
zscore,Cross Sectional,['REGULAR'],zscore(x),Z-score is a numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean,/operators/zscore,ALL,Cross_Sectional_1,0.3758333333333333,0.125,1.5847450110864747,0.325,0.09
scale,Cross Sectional,['REGULAR'],"scale(x, scale=1, longscale=1, shortscale=1)",Scales input to booksize. We can also scale the long positions and short positions to separate scales by mentioning additional parameters to the operator,/operators/scale,ALL,Cross_Sectional_1,0.3758333333333333,0.125,1.758048780487805,0.33,0.11
normalize,Cross Sectional,['REGULAR'],"normalize(x, useStd = false, limit = 0.0)","Calculates the mean value of all valid alpha values for a certain date, then subtracts that mean from each element",/operators/normalize,ALL,Cross_Sectional_1,0.3758333333333333,0.125,1.810909090909091,0.41,0.09
quantile,Cross Sectional,['REGULAR'],"quantile(x, driver = gaussian, sigma = 1.0)","Rank the raw vector, shift the ranked Alpha vector, apply distribution (gaussian, cauchy, uniform). If driver is uniform, it simply subtract each Alpha value with the mean of all Alpha values in the Alpha vector",/operators/quantile,ALL,Cross_Sectional_1,0.3758333333333333,0.125,2.237871396895787,0.36,0.16
vec_sum,Vector,['REGULAR'],vec_sum(x),Sum of vector field x,,ALL,Vector_1,0.34,0.06,,,
vec_avg,Vector,['REGULAR'],vec_avg(x),Taking mean of the vector field x,,ALL,Vector_1,0.34,0.06,2.0,0.34,0.06
bucket,Transformational,['REGULAR'],"bucket(rank(x), range=""0, 1, 0.1"" or buckets = ""2,5,6,7,10"")","Convert float values into indexes for user-specified buckets. Bucket is useful for creating group values, which can be passed to GROUP as input",/operators/bucket,ALL,Transformational_bucket,0.26,0.05,2.0,0.26,0.05
trade_when,Transformational,['REGULAR'],"trade_when(x, y, z)",Used in order to change Alpha values only under a specified condition and to hold Alpha values in other cases. It also allows to close Alpha positions (assign NaN values) under a specified condition,/operators/trade_when,ALL,Transformational_trade_when,0.0,0.0,,0.0,0.0
group_mean,Group,['REGULAR'],"group_mean(x, weight, group)",All elements in group equals to the mean,/operators/group_mean,ALL,Group_3_1,0.42,0.18,2.0,0.42,0.18
group_rank,Group,['REGULAR'],"group_rank(x, group)",Each elements in a group is assigned the corresponding rank in this group,/operators/group_rank,ALL,Group_2,0.38875000000000004,0.17125,2.797474593376675,0.52,0.25
group_backfill,Group,['REGULAR'],"group_backfill(x, group, d, std = 4.0)","If a certain value for a certain date and instrument is NaN, from the set of same group instruments, calculate winsorized mean of all non-NaN values over last d days",/operators/group_backfill,ALL,Group_3_2,,,,,
group_scale,Group,['REGULAR'],"group_scale(x, group)",Normalizes the values in a group to be between 0 and 1. (x - groupmin) / (groupmax - groupmin),,ALL,Group_2,0.38875000000000004,0.17125,1.9281338747154222,0.375,0.165
group_zscore,Group,['REGULAR'],"group_zscore(x, group)",Calculates group Z-score - numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean. zscore = (data - mean) / stddev of x for each instrument within its group.,,ALL,Group_2,0.38875000000000004,0.17125,1.2656136315628888,0.265,0.1
group_neutralize,Group,['REGULAR'],"group_neutralize(x, group)","Neutralizes Alpha against groups. These groups can be subindustry, industry, sector, country or a constant",/operators/group_neutralize,ALL,Group_2,0.38875000000000004,0.17125,2.0087779003450135,0.395,0.17
,,,,,,,,0.34,0.06,,,
,,,,,,,,0.34,0.06,15.058823529411764,1.04,0.72
